상품 ID,브랜드,성별,카테고리1,카테고리2,원산지,실패 사유
31717581,,Kids,Accessories,Accessories,China,브랜드 실패(사유: None) / 카테고리 성공 / 원산지 성공
31717585,Salvatore Ferragamo,Woman,Shoes,Flat shoes,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717586,SELF PORTRAIT,Woman,Clothing,Dresses,Cina,브랜드 실패(사유: SELF PORTRAIT) / 카테고리 성공 / 원산지 실패(사유: Cina)
31717587,SELF PORTRAIT,Woman,Clothing,Dresses,"CHINA, PEOPLE'S REPUBLIC OF","브랜드 실패(사유: SELF PORTRAIT) / 카테고리 성공 / 원산지 실패(사유: CHINA, PEOPLE'S REPUBLIC OF)"
31717589,Salvatore Ferragamo,Woman,Accessories,Wallets,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717590,Salvatore Ferragamo,Woman,Accessories,Belts,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717591,MACH & MACH,Woman,Shoes,With Heel,Italy,브랜드 실패(사유: MACH & MACH) / 카테고리 성공 / 원산지 성공
31717593,IENKI IENKI,Woman,Clothing,Jackets,Ucraina,브랜드 실패(사유: IENKI IENKI) / 카테고리 성공 / 원산지 실패(사유: Ucraina)
31717594,Salvatore Ferragamo,Woman,Shoes,With Heel,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717595,,Kids,Accessories,Accessories,China,브랜드 실패(사유: None) / 카테고리 성공 / 원산지 성공
31717598,,Kids,Accessories,Accessories,China,브랜드 실패(사유: None) / 카테고리 성공 / 원산지 성공
31717599,Salvatore Ferragamo,Man,Accessories,Scarfs,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717601,SELF PORTRAIT,Woman,Clothing,Dresses,"CHINA, PEOPLE'S REPUBLIC OF","브랜드 실패(사유: SELF PORTRAIT) / 카테고리 성공 / 원산지 실패(사유: CHINA, PEOPLE'S REPUBLIC OF)"
31717602,Salvatore Ferragamo,Woman,Shoes,With Heel,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717604,,Kids,Accessories,Accessories,China,브랜드 실패(사유: None) / 카테고리 성공 / 원산지 성공
31717605,Salvatore Ferragamo,Man,Accessories,Belts,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717606,Salvatore Ferragamo,Woman,Bags,Bags..,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717607,SELF PORTRAIT,Woman,Clothing,Dresses,CHINA,브랜드 실패(사유: SELF PORTRAIT) / 카테고리 성공 / 원산지 성공
31717608,IENKI IENKI,Woman,Clothing,Coats,Ucraina,브랜드 실패(사유: IENKI IENKI) / 카테고리 성공 / 원산지 실패(사유: Ucraina)
31717609,SELF PORTRAIT,Woman,Clothing,Dresses,Cina,브랜드 실패(사유: SELF PORTRAIT) / 카테고리 성공 / 원산지 실패(사유: Cina)
31717610,Blancha,Woman,Clothing,Jackets,Italy,브랜드 실패(사유: Blancha) / 카테고리 성공 / 원산지 성공
31717611,Salvatore Ferragamo,Man,Accessories,Scarfs,ITALIA,브랜드 실패(사유: Salvatore Ferragamo) / 카테고리 성공 / 원산지 성공
31717612,SELF PORTRAIT,Woman,Clothing,Skirts,CHINA,브랜드 실패(사유: SELF PORTRAIT) / 카테고리 성공 / 원산지 성공
31717901,Burberry,Man,Bags,Bags..,CN,브랜드 성공 / 카테고리 성공 / 원산지 실패(사유: CN)
31717913,Burberry,Man,Bags,Bags..,CN,브랜드 성공 / 카테고리 성공 / 원산지 실패(사유: CN)
31717917,KHAITE,Woman,Clothing,Trousers,US,브랜드 성공 / 카테고리 성공 / 원산지 실패(사유: US)
31717919,Burberry,Man,Bags,Bags..,CN,브랜드 성공 / 카테고리 성공 / 원산지 실패(사유: CN)
31717922,Burberry,Woman,Bags,Bags..,CN,브랜드 성공 / 카테고리 성공 / 원산지 실패(사유: CN)
31717936,KHAITE,Woman,Clothing,Dresses,US,브랜드 성공 / 카테고리 성공 / 원산지 실패(사유: US)
31717937,KHAITE,Woman,Clothing,Dresses,USA,브랜드 성공 / 카테고리 성공 / 원산지 실패(사유: USA)
1\4\4\206446\626172\0,MIU MIU,WOMAN,SHOES,LOAFERS,ITALY,브랜드 실패(사유: MIU MIU) / 카테고리 성공 / 원산지 성공
1\4\4\206415\858105\0,MIU MIU,WOMAN,SHOES,SNEAKERS,ITALY,브랜드 실패(사유: MIU MIU) / 카테고리 성공 / 원산지 성공
1\4\4\409549\852271\0,Y3 YAMAMOTO,MAN,SHOES,SNEAKERS,CHINA,브랜드 실패(사유: Y3 YAMAMOTO) / 카테고리 성공 / 원산지 성공
1\19\26\409940\845815\0,PURPLE DENIM,MAN,CLOTHING,JEANS,ITALY,브랜드 실패(사유: PURPLE DENIM) / 카테고리 성공 / 원산지 성공
1\1\1\1\295891\0,BORRELLI,MAN,CLOTHING,SHIRTS,MADE INITALY,브랜드 실패(사유: BORRELLI) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\324756\726732\0,CALVIN KLEIN,MAN,CLOTHING,UNDERWEAR,INDIA,브랜드 실패(사유: CALVIN KLEIN) / 카테고리 성공 / 원산지 성공
1\1\1\1\378003\0,BORRELLI,MAN,CLOTHING,SHIRTS,MADE INITALY,브랜드 실패(사유: BORRELLI) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6862\599698\0,HAECKELS,UNISEX,OBJECTS,BEAUTY,,브랜드 실패(사유: HAECKELS) / 카테고리 성공 / 원산지 성공
1\4\4\6862\599700\0,HAECKELS,UNISEX,OBJECTS,BEAUTY,,브랜드 실패(사유: HAECKELS) / 카테고리 성공 / 원산지 성공
1\1\1\1\307907\0,DEPIO,WOMAN,ACCESSORIES,SOCKS,MADE INITALY,브랜드 실패(사유: DEPIO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\206415\639577\0,NEOUS,WOMAN,SHOES,BOOTS,MADE INITALY,브랜드 실패(사유: NEOUS) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\143\48\206446\604090\0,NEOUS,WOMAN,SHOES,SANDALS,MADE INITALY,브랜드 실패(사유: NEOUS) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6862\599702\0,HAECKELS,UNISEX,OBJECTS,BEAUTY,,브랜드 실패(사유: HAECKELS) / 카테고리 성공 / 원산지 성공
1\143\48\206446\604091\0,NEOUS,WOMAN,SHOES,SANDALS,MADE INITALY,브랜드 실패(사유: NEOUS) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\206415\639571\0,NEOUS,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: NEOUS) / 카테고리 성공 / 원산지 성공
1\4\4\206415\639572\0,NEOUS,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: NEOUS) / 카테고리 성공 / 원산지 성공
1\4\4\206415\639574\0,NEOUS,WOMAN,SHOES,SANDALS,MADE INITALY,브랜드 실패(사유: NEOUS) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6862\599704\0,HAECKELS,UNISEX,OBJECTS,PERFUMES,,브랜드 실패(사유: HAECKELS) / 카테고리 성공 / 원산지 성공
1\4\4\6862\599706\0,HAECKELS,UNISEX,OBJECTS,PERFUMES,,브랜드 실패(사유: HAECKELS) / 카테고리 성공 / 원산지 성공
1\4\4\6862\599708\0,HAECKELS,UNISEX,OBJECTS,PERFUMES,,브랜드 실패(사유: HAECKELS) / 카테고리 성공 / 원산지 성공
1\4\4\225259\720142\0,GINORI 1735,UNISEX,OBJECTS,,ITALY,브랜드 실패(사유: GINORI 1735) / 카테고리 성공 / 원산지 성공
1\4\4\6863\744241\0,GINORI 1735,UNISEX,OBJECTS,,ITALY,브랜드 실패(사유: GINORI 1735) / 카테고리 성공 / 원산지 성공
1\4\4\225259\720146\0,GINORI 1735,UNISEX,OBJECTS,,ITALY,브랜드 실패(사유: GINORI 1735) / 카테고리 성공 / 원산지 성공
1\17\32\6863\469834\0,MONCLER GENIUS,MAN,BAGS,CROSSBODY BAGS,,브랜드 실패(사유: MONCLER GENIUS) / 카테고리 성공 / 원산지 성공
1\4\4\6862\599712\0,HAECKELS,UNISEX,OBJECTS,,,브랜드 실패(사유: HAECKELS) / 카테고리 성공 / 원산지 성공
1\4\4\6862\599716\0,HAECKELS,UNISEX,OBJECTS,BEAUTY,,브랜드 실패(사유: HAECKELS) / 카테고리 성공 / 원산지 성공
1\1\1\1\337832\0,ISAIA,MAN,CLOTHING,SUITS,MADE INITALY,브랜드 실패(사유: ISAIA) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\1\1\1\202546\0,ISAIA,MAN,CLOTHING,BLAZERS AND VESTS,MADE INITALY,브랜드 실패(사유: ISAIA) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6864\707772\0,DRIES VAN NOTEN,WOMAN,CLOTHING,PANTS,,브랜드 실패(사유: DRIES VAN NOTEN) / 카테고리 성공 / 원산지 성공
1\4\4\6864\707777\0,DRIES VAN NOTEN,WOMAN,CLOTHING,PANTS,,브랜드 실패(사유: DRIES VAN NOTEN) / 카테고리 성공 / 원산지 성공
1\4\4\6864\489069\0,CHRISTIAN DIOR,WOMAN,CLOTHING,BLAZERS AND VESTS,MADE INITALY,브랜드 실패(사유: CHRISTIAN DIOR) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6864\707787\0,DRIES VAN NOTEN,WOMAN,CLOTHING,TOPS,,브랜드 실패(사유: DRIES VAN NOTEN) / 카테고리 성공 / 원산지 성공
1\1\1\1\379666\0,VACCARI,MAN,ACCESSORIES,BELT,MADE INITALY,브랜드 실패(사유: VACCARI) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\1\1\1\379667\0,VACCARI,MAN,ACCESSORIES,BELT,MADE INITALY,브랜드 실패(사유: VACCARI) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6862\554733\0,VISVIM,MAN,CLOTHING,JEANS,japan,브랜드 실패(사유: VISVIM) / 카테고리 성공 / 원산지 성공
1\4\4\324756\726594\0,VISVIM,MAN,CLOTHING,SHIRTS,japan,브랜드 실패(사유: VISVIM) / 카테고리 성공 / 원산지 성공
1\4\4\324756\726595\0,VISVIM,MAN,CLOTHING,SHIRTS,japan,브랜드 실패(사유: VISVIM) / 카테고리 성공 / 원산지 성공
1\4\4\6864\706400\0,DIOR HOMME,MAN,CLOTHING,PANTS,ITALY,브랜드 실패(사유: DIOR HOMME) / 카테고리 성공 / 원산지 성공
1\17\32\6866\707702\0,DIOR HOMME,MAN,CLOTHING,BERMUDA SHORTS,,브랜드 실패(사유: DIOR HOMME) / 카테고리 성공 / 원산지 성공
1\17\32\6866\707703\0,DIOR HOMME,MAN,CLOTHING,PANTS,ITALY,브랜드 실패(사유: DIOR HOMME) / 카테고리 성공 / 원산지 성공
1\1\1\1\378093\0,BRIONI,MAN,CLOTHING,PANTS,MADE INITALY,브랜드 실패(사유: BRIONI) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\1\1\1\378106\0,BRIONI,MAN,CLOTHING,PANTS,MADE INITALY,브랜드 실패(사유: BRIONI) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\206417\646269\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\206417\634599\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,ITALIA,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\3\2291\601260\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,ITALIA,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\6863\668238\0,SUN CHASER,WOMAN,CLOTHING,SUITS,,브랜드 실패(사유: SUN CHASER) / 카테고리 성공 / 원산지 성공
1\4\3\2291\603031\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\143\48\206446\602955\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\182985\603015\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\206417\634607\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BOOTS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\206417\634609\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BOOTS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\17\32\6866\672734\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\17\32\6866\672735\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BOOTS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\409549\814521\0,SALVATORE FERRAGAMO,WOMAN,SHOES,LOAFERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\17\32\6866\672428\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\17\32\6866\672737\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\261398\695727\0,SALVATORE FERRAGAMO,WOMAN,SHOES,ESPADRILLES,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6863\736009\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6863\736012\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6863\736013\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6863\736015\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\6863\736016\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,MADE INITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 실패(사유: MADE INITALY)
1\4\4\206415\724112\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\1\1\182985\741551\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\1\1\182985\792957\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SLIPPERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\1\1\182985\792851\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\838759\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\1\1\1\982030\0,SALVATORE FERRAGAMO,WOMAN,SHOES,LOAFERS,ITALIA,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\869255\0,SALVATORE FERRAGAMO,WOMAN,SHOES,LOAFERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\825006\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\409549\814346\0,SALVATORE FERRAGAMO,WOMAN,SHOES,ESPADRILLES,SPAIN,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\838750\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,JAPAN,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\409549\814347\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\409549\814524\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\409549\814525\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BOOTS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\838760\0,SALVATORE FERRAGAMO,WOMAN,SHOES,LOAFERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\869257\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\869258\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SLIPPERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\869324\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SLIPPERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\869261\0,SALVATORE FERRAGAMO,WOMAN,SHOES,LOAFERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\869182\0,SALVATORE FERRAGAMO,WOMAN,SHOES,LOAFERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\869265\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\872801\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\1\1\2291\1001255\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\872802\0,SALVATORE FERRAGAMO,WOMAN,SHOES,SANDALS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\2291\872803\0,SALVATORE FERRAGAMO,WOMAN,SHOES,BALLERINAS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\1\1\2291\1001326\0,SALVATORE FERRAGAMO,WOMAN,SHOES,PUMPS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
1\4\4\6864\707974\0,DRIES VAN NOTEN,MAN,CLOTHING,SHIRTS,,브랜드 실패(사유: DRIES VAN NOTEN) / 카테고리 성공 / 원산지 성공
1\4\4\6864\707975\0,DRIES VAN NOTEN,MAN,CLOTHING,SHIRTS,,브랜드 실패(사유: DRIES VAN NOTEN) / 카테고리 성공 / 원산지 성공
1\4\4\6864\707987\0,DRIES VAN NOTEN,MAN,CLOTHING,PANTS,,브랜드 실패(사유: DRIES VAN NOTEN) / 카테고리 성공 / 원산지 성공
1\4\4\409549\814301\0,SALVATORE FERRAGAMO,MAN,SHOES,LOAFERS,ITALY,브랜드 실패(사유: SALVATORE FERRAGAMO) / 카테고리 성공 / 원산지 성공
